#Ver.2025.03.13
#com3d2plg
bg-en.arc,bg English version
bg_acosh001.arc,カスタムオーダーメイド3D2 アダルトコスチュームセット+アダルトアイテム付きHイベント
bg_adultplus_black.arc,アダルト機能強化パックBLACK 無垢、真面目、凜デレ、純真、ツンデレ、クーデレ
bg_adultplus_hard.arc,アダルトビジュアル強化パック
bg_cafesp001.arc,エンパイアバラエティSP 2023 Summer
bg_cd001.arc,ミュージックドレスセット&ボーカルコレクション
bg_cd002.arc,グルーブドレスセット＋ボーカルコレクション２
bg_charaevent009.arc,イベント追加パックvol.9 キャラクターHイベントプラス　純愛side
bg_charaevent010.arc,イベント追加パックvol.10 キャラクターHイベントプラス　NTRside
bg_charaevent011.arc,イベント追加パックvol.11 キャラクターHイベントプラス 純愛side
bg_christmas2024eve.arc,クリスマスカフェSP
bg_cr009.arc,仮装パーティセット
bg_cw002.arc,カスタムオーダーメイド3D2 コスチューム+ショッピングセットVol.2
bg_cw003.arc,カスタムオーダーメイド3D2 コスチュームセット Vol.3
bg_cw004.arc,カスタムオーダーメイド3D2 デートパック 2020 Spring
bg_cw005.arc,カスタムオーダーメイド3D2 シーズンパック 2020 Summer
bg_cw009.arc,コスチュームセット Vol.64 初詣SP『ノーマル＆ハイポリ
bg_cw010.arc,コスチュームセット Vol.67 セット購入特典背景
bg_dance_aikiss2.arc,戯画・アイキス2・Kiss me! choose me!
bg_dance_aikiss3.arc,戯画・アイキス3・コスチューム＆ダンス　フルセット
bg_denkigai2017wkey3.arc,電気外祭り2017冬アイテムセット-DLC.Ver
bg_denkigai2017wpcard.arc,電気外祭り2017冬アイテムセット-DLC.Ver
bg_denkigai2017wPoster3d21.arc,電気外祭り2017冬アイテムセット-DLC.Ver
bg_denkigai2017wPosterkaraoke002.arc,電気外祭り2017冬アイテムセット-DLC.Ver
bg_denkigai2017wPosterStarter.arc,電気外祭り2017冬アイテムセット-DLC.Ver
bg_denkigai2018s.arc,電気外祭り2018夏アイテムセット-DLC.Ver
bg_denkigai2018spcard.arc,電気外祭り2018夏アイテムセット-DLC.Ver
bg_denkigai2018spostercm3d2com3d2.arc,電気外祭り2018夏 ポスター CM3D2 & COM3D2 Wパーク
